sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984
IIP - Beverages																																									
IIP - Beverages - Change																																									
IIP - Food products																																									
IIP - Food products - Change																																									
IIP - Manufacture of Machinery & equipment																																									
IIP - Manufacture of Machinery & equipment - Change																																									
IIP - Manufacture of Textiles																																									
IIP - Manufacture of Textiles - Change																																									
IIP - Manufacture of Wearing Apparels																																									
IIP - Manufacture of Wearing Apparels - Change																																									
IIP - Manufacture of basic metals																																									
IIP - Manufacture of basic metals - Change																																									
IIP - Manufacture of basic pharmaceutical products and pharmaceutical preparations																																									
IIP - Manufacture of basic pharmaceutical products and pharmaceutical preparations - Change																																									
IIP - Manufacture of chemicals & chemical products																																									
IIP - Manufacture of chemicals & chemical products - Change																																									
IIP - Manufacture of coke and refined petroleum products																																									
IIP - Manufacture of coke and refined petroleum products - Change																																									
IIP - Manufacture of electrical equipment																																									
IIP - Manufacture of electrical equipment - Change																																									
IIP - Manufacture of fabricated metal products																																									
IIP - Manufacture of fabricated metal products - Change																																									
IIP - Manufacture of furniture																																									
IIP - Manufacture of furniture - Change																																									
IIP - Manufacture of leather and related products																																									
IIP - Manufacture of leather and related products - Change																																									
IIP - Manufacture of other nonmetallic mineral products																																									
IIP - Manufacture of other nonmetallic mineral products - Change																																									
IIP - Manufacture of paper and paper products																																									
IIP - Manufacture of paper and paper products - Change																																									
IIP - Manufacture of rubber & plastic products																																									
IIP - Manufacture of rubber & plastic products - Change																																									
IIP - Manufacture of wood and products of wood and cork except furniture; manufacture of articles of Straw and plaiting materials																																									
IIP - Manufacture of wood and products of wood and cork except furniture; manufacture of articles of Straw and plaiting materials - Change																																									
IIP - Other manufacturing																																									
IIP - Other manufacturing - Change																																									
IIP - Printing and reproduction of recorded media																																									
IIP - Printing and reproduction of recorded media - Change																																									
IIP - Tobacco products																																									
IIP - Tobacco products - Change																																									
Index of Industrial Production (IIP) - Change																																									
