sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984
Merchandise Export Unit Value Index (2010=100)			93.26	92.4	87.7	94.1	100.4	96.4	94.1	95.6	105.5	102.8																													
Merchandise Export Value Index (2010=100)			152.01	145.0	116.5	138.5	137.9	131.8	119.6	122.3	129.1	120.6																													
Merchandise Export Volume Index (2010=100)			163.0	156.9	132.9	147.2	137.3	136.7	127.0	128.0	122.3	117.3																													
Merchandise Import Unit Value Index (2010=100)			108.29	94.9	82.3	90.5	95.1	91.3	90.2	95.3	108.1	109.8																													
Merchandise Import Value Index (2010=100)			136.42	153.9	119.7	148.7	165.8	156.5	143.1	141.2	144.8	134.3																													
Merchandise Import Volume Index (2010=100)			125.98	162.2	145.5	164.2	174.3	171.3	158.5	148.2	134.0	122.3																													
Terms of Trade (2010=100)			86.12	97.4	106.5	103.9	105.6	105.5	104.3	100.3	97.6	93.6																													
