sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Estimated Tea Production - Central				95.1	89.9	94.9	97.0	92.8	95.4	107.6	109.2	109.7	106.7	108.0	104.0	92.0	96.9	92.4	94.5	107.8																																									
Estimated Tea Production - Eastern																																																													
Estimated Tea Production - North Central																																																													
Estimated Tea Production - North Western																																																													
Estimated Tea Production - Northern																																																													
Estimated Tea Production - Sabaragamuwa				77	73.9	78.5	79.0	80.3	76.3	83.0	84.1	82.8	83.2	78.3	82.9	78.8	68.7	69.5	71.9	78.6																																									
Estimated Tea Production - Southern				77.3	68.4	79.6	79.4	84.7	77.2	89.9	96.8	97.9	93.6	92.8	94.5	81.6	91.0	89.1	90.4	88.7																																									
Estimated Tea Production - Uva				31	28.1	25.1	26.3	28.1	24.5	29.1	29.0	30.4	26.8	30.3	34.9	26.8	40.1	39.0	35.5	31.8																																									
Estimated Tea Production - Western				19.3	18.5	22	22.2	21.2	19.1	19.2	18.9	19.3	18.0	18.0	15.1	11.9	21.7	14.5	18.5	10.3																																									
No. of Tea Factories				613	621	750	747	724	712	714	714	696	665	695	675	671	707	692	689	653	669	839	823	803	706																																				
No. of Tea Factories - Central				207	213.0	270	270.0	245	239	237	238	227.0	225.0	233.0	220.0	215.0	233.0	227.0	225.0	224.0																																									
No. of Tea Factories - Eastern																																																													
No. of Tea Factories - North Central																																																													
No. of Tea Factories - North Western																																																													
No. of Tea Factories - Northern																																																													
No. of Tea Factories - Sabaragamuwa				119	121.0	140	140.0	140	138	141	140	142.0	119.0	139.0	131.0	107.0	113.0	111.0	112.0	123.0																																									
No. of Tea Factories - Southern				194	193.0	230	228.0	232	231	240	235	229.0	201.0	230.0	225.0	219.0	224.0	219.0	243.0	211.0																																									
No. of Tea Factories - Uva				63	64.0	71	71.0	70	68	64	67	65.0	67.0	61.0	68.0	79.0	87.0	88.0	89.0	72.0																																									
No. of Tea Factories - Western				30	29.0	39	38.0	37	36	32	34	33.0	53.0	32.0	31.0	51.0	50.0	47.0	20.0	23.0																																									
