sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Electricity - Electrification level									99.3	99	98	96	94	91	88	85	83	80	78	77	73	68	65	64	63	57	52	48	47	45	45	37	35	33	29	26	25	24	20	18	16	15	14	13	12	11	11	10	10	10	9	9	9	9	8						
Water supply - Access to pipe borne water				54.3	53.1	51.8	50.5	49.2	47.7	45.9	44.3	44.3	43.5	42.4	39.0	35.5	34.5	32.0	38.9	38.9	28.0	31.0	35.0					31.0			23.1							22.6						18.4		21.8						21.0		20.0							
Water supply - Access to safe drinking water				94.4	93.2	91.9	90.6		88.8	89.7	89.7	89	88	88	87	85	78	85	93	93	72	70	70																																						
