sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
IIP - Other Investments- Currency and Deposits -Assets					835.46	771.02	863.7	784.15	705.82	701.0	558.3	282.6	741.3																																																
IIP - Other Investments- Currency and Deposits -Liabilities					1733.5	1748.27	1580.79	2213.22	2441.57	3050.78	1593.8	1886	1778.3																																																
IIP - Other Investments- Loans -Assets					0	0	0	0	0	0	0	0	0.0																																																
IIP - Other Investments- Loans -Liabilities					31512.13	30320.03	30450.31	28884.49	26529.62	25935.94	25297.3	24506.9	23749.2																																																
IIP - Other Investments- Other accounts payable -Liabilities					342.56	456.19	432.08	594.47	533.13	478.18	436.7	285.3	227.7																																																
IIP - Other Investments- Other accounts receivable -Assets					1920.19	1896.41	1700.05	1584.3	1615.37	1236.42	991.9	677.6	635.4																																																
IIP - Other Investments- Trade Credits -Assets					954.11	1178.14	1181.98	1002.1	609.87	676.54	820.1	459.9	234.5																																																
IIP - Other Investments- Trade Credits -Liabilities					2340.86	2155.99	2184.4	1930.14	1483.23	1374.56	1674.4	2088.5	1909.7																																																
