sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Crude Birth Rate-All Island							15.1	15.2	15.6	16.0	16.9	17.8	17.6	17.3	17.6	18.4	18.8	19.3	18.8	18.9	18.8	18.9	19.1	18.9	17.3																																				
Crude Death Rate-All Island							6.4	6.5	6.2	6.3	6.2	6.2	6.0	5.9	6.3	5.9	5.9	5.9	5.9	6.7	5.9	6.0	5.8	6.0	6.1																																				
Mid Year Population-Female				11429	11306	11247	11178	11062	10941	10817	10715	10616	10536	10512	10402	10302	10186	10083	9969	9862	9757	9698	9571	9438	9357	9870	9204	9095	8989	8890	8770	8650	8542	8464	8341	8248																									
Mid Year Population-Growth Rate					0.5	0.6	1.1	1.1	1.1	0.9	0.9	0.8	1.0	1.1	1.0	1.1	1.0	1.2	1.1	1.1	1.2	1.3	1.3	1.2	1.4																																				
Mid Year Population-Male				10727	10613	10556	10492	10382	10268	10153	10056	9963	9888	10357	10273	10174	10060	9956	9889	9782	9678	9475	9350	9359	9745	9336	9570	9457	9347	9246	9121	8996	8884	8803	8674	8577																									
Mid Year Population-Sri Lanka				22156	21919	21803	21670	21444	21209	20970	20778	20585	20425	20892	20675	20476	20246	20039	19858	19644	19435	19173	18921	18797	19102	19043	18774	18552	18336	18136	17891	17646	17426	17267	17015	16825	16599	16373	16127	15842	15603	15417	15196	14847	14747	14472	14190	13942	13717	13496	13284	13091	12861	12690	12514	12252	11992	11703	11439	11164	10903
