sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Electricity Sales-Revenue-Grand Total Sri Lanka				249089.29	238910.55	242950.33	204078.38	218450.46	206892.03	188035.77	204671.63	190487.64	162954.54	132373.02	120780.3	110551.05	110896.1	87400.06	70585.01	66697.56	60905.18	47708.92	39877.41	28702.18	28837.2	21304.08	20176.46	16781.72	14408.54																																
Electricity Sales-Revenue-North Central-Total				10257.38	9696.5	9193.37	8428.3	7848.56	7457.26	6340.89	6708.88	6506.79	5415.41	4239.06	3757.74	3292.98	3189.92	2484.3	2024.11	1488.82	1539.37	1589.34	1206.13	760.38	625.41	548.06																																			
Electricity Sales-Revenue-North Western-Total				24929.91	23238.14	22458.36	20416.34	19569.07	18484.95	16639.0	17911.17	16715.88	14313.44	11684.48	10885.87	9863.47	9551.19	7376.24	5891.91	4588.01	4179.44	3952.62	3364.52	2579.2	1935.4	1657.95																																			
Electricity Sales-Revenue-Northern-Total				8050.78	7636.08	7317.43	6704.41	6133.95	5506.77	4771.2	4830.86	4445.72	3449.29	2642.04	2180.26	1644.54	1417.31	1161.86	922.32	814.45	700.76	572.21	393.61	277.25	193.01	165.63																																			
Electricity Sales-Revenue-Sabaragamuwa-Total				8604.82	8185.41	8009.94	7615.79	7127.95	6760.61	6187.06	6631.4	7314.73	6411.13	5194.16	4779.27	4315.99	4442.67	3502.78	2998.66	2665.04	2439.89	2333.18	2103.81	1611.37	1140.96	998.68																																			
Electricity Sales-Revenue-Southern-Total				18712.09	17719.46	17467.45	16866.31	15771.02	14886.46	13276.92	14375.05	12797.58	10827.63	8766.97	9358.97	8438.13	8598.88	6878.79	5588.27	4228.37	3906.63	3588.25	3046.52	2304.58	1888.86	1617.73																																			
Electricity Sales-Revenue-Transmission Bulk Supply to LECO				22917.58	25717.05	27719.56	25478.36	25182.11	24496.28	22295.38	24980.67	22376.13	18628.15	14858.57																																															
Electricity Sales-Revenue-Uva-Total				5966.09	5527.67	5411.88	5122.49	4789.95	4488.46	3970.15	4304.73	4834.48	5110.66	4293.52	4008.21	3689.77	3617.0	2860.11	2407.61	1909.53	1763.88	1727.31	1477.56	1180.5	581.81	523.21																																			
Electricity Sales-Revenue-Western-Total				84014.4	77232.98	77868.81	74603.59	69698.18	65097.12	59851.64	65007.47	60195.49	51567.3	42218.25	50903.99	46440.25	48031.72	37847.04	30480.42	34889.86	31933.79	29662.34	24621.23	17226.11	14608.82	8624.86																																			
Electricity Sales-Units-Central-Total				1436.71	1364.67	1394.74	1309.94	1265.95	1211.87	1132.91	1043.04	884.31	775.9	738.77	688.33	633.64	622.73	595.29	549.33	469.45	438.79	414.5	374.89	360.75	469.38	416.52																																			
Electricity Sales-Units-Colombo City-Total				1382.62	1346.66	1522.9	1490.57	1459.7	1416.19	1328.76	1289.36	1243.85	1246.95	1239.37	1169.72	1119.96	1111.65	1117.26	1074.84	1051.31	934.35	876.47	780.02	722.98	785.75	778.9																																			
Electricity Sales-Units-Eastern-Total				804.26	767.59	738.74	712.47	672.8	626.3	556.95	504.25	481.8	472.33	446.07	418.09	377.08	346.97	333.28	314.83	280.14	220.89	197.03	181.46	167.75	172.83	172.65																																			
Electricity Sales-Units-Grand Total Sri Lanka				15213.62	14286.14	14611.23	14091.16	13431.46	12785.3	11786.28	11063.11	10621.39	10473.8	10023.29	9268.28	8440.8	8417.39	8276.18	7831.64	8306.22	7600.88	6208.6	5502.28	5236.44	5258.21	4808.67	4520.98	4039.27	3588.42																																
Electricity Sales-Units-North Central-Total				661.0	635.04	601.01	565.67	529.29	506.3	437.99	404.15	397.17	383.72	356.5	319.54	279.28	262.44	252.27	238.31	213.7	214.2	217.27	174.0	141.05	140.58	123.7																																			
Electricity Sales-Units-North Western-Total				1610.71	1508.65	1481.49	1372.12	1329.7	1269.8	1165.03	1094.05	1046.48	1048.76	1002.55	919.21	825.54	782.49	759.17	692.52	639.96	586.72	552.47	494.64	480.62	439.01	389.11																																			
Electricity Sales-Units-Northern-Total				475.1	445.63	439.9	418.98	383.98	342.19	300.79	259.62	240.27	212.89	198.94	164.46	128.88	111.91	108.11	108.36	114.04	98.53	80.71	60.76	58.48	45.69	41.95																																			
Electricity Sales-Units-Sabaragamuwa-Total				590.34	564.8	560.28	541.07	513.47	491.2	457.0	426.85	481.66	485.22	456.62	420.4	377.6	375.54	359.53	349.81	371.44	339.78	321.71	304.24	296.42	257.32	288.54																																			
Electricity Sales-Units-Southern-Total				1218.11	1154.72	1153.59	1125.99	1064.1	1015.7	929.54	878.05	816.39	800.7	758.94	796.88	729.57	733.92	721.23	678.08	614.42	571.25	516.42	469.84	46622	459.39	400.21																																			
Electricity Sales-Units-Transmission Bulk Supply to LECO				1632.31	1604.76	1684.39	1640.21	1594.95	1553.2	1446.0	1352.19	1307.69	1301.66	1266.87																																															
Electricity Sales-Units-Uva-Total				419.21	396.5	385.24	370.53	350.32	332.7	301.42	278.13	322.05	380.99	369.98	346.5	316.99	310.99	296.25	283.44	268.9	247.19	239.38	214.18	218.8	135.91	124.49																																			
Electricity Sales-Units-Western-Total				4982.94	4497.13	4648.94	4543.62	4266.96	4019.82	3729.89	3533.43	3399.72	3364.68	3188.69	4025.13	3652.27	3758.76	3733.8	3542.13	4282.86	3949.18	3699.12	3228.26	3046.36	3138.09	2132.6																																			
