sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Electricity Sales-No. of Consumer Accounts-Central-Total				1063688	1040251.0	1022970	1002820.0	982134	957200	911417	883595	858446	653912	626460	598187	576551	554833	524635	496582	414380	393937	374270	354981	336181	358920	320963																																			
Electricity Sales-No. of Consumer Accounts-Colombo City-Total				186274	184627.0	182259	179801.0	177593	175128	172643	169596	164565	161018	157600	154268	150944	147328	144024	140448	135980	132760	128052	122717	118161	115296	111343																																			
Electricity Sales-No. of Consumer Accounts-Eastern-Total				592499	569698.0	552096	535636.0	516695	479953	442447	418014	392436	366942	337287	312727	294091	270475	245662	226603	210437	210419	193810	179886	168496	143690	130841																																			
Electricity Sales-No. of Consumer Accounts-Grand Total Sri Lanka				6809528	6636266	6500641	6354280	6193130	5964194	5649132	5417532	5210761	4979861	4717447	4480422	4280167	4088899	3866986	3636242	3943169	3732392	3382774	3188027	3030401	2830795	2571229	2334992	2133574	1690636																																
Electricity Sales-No. of Consumer Accounts-North Central-Total				478822	467720.0	459639	448008.0	436174	422903	390774	372667	356446	338951	314523	295924	276745	257965	242655	223920	205566	174855	158429	148749	140163	139320	124934																																			
Electricity Sales-No. of Consumer Accounts-North Western-Total				903808	884297.0	866436	848767.0	828918	797194	753125	720471	693040	663514	627289	594899	566785	539834	509269	471368	428433	402954	375957	351965	335171	306388	274269																																			
Electricity Sales-No. of Consumer Accounts-Northern-Total				397311	380260.0	367518	356253.0	339420	306565	270263	241719	217973	188284	166051	143611	132331	126887	122449	119650	108504	98065	81258	66621	61610	52940	45499																																			
Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total				505046	493033.0	485231	475925.0	464726	447709	428649	405847	390039	433969	403359	374729	350073	329254	306927	284147	314415	295400	277354	261047	246828	228128	202798																																			
Electricity Sales-No. of Consumer Accounts-Southern-Total				817685	798781.0	783492	766864.0	749918	731831	702117	679316	659545	636247	616482	591887	566584	543947	510864	474633	499268	473849	449469	426172	405776	382426	345915																																			
Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO				1	1	1	1	1	1	1	1	1	1	1																																															
Electricity Sales-No. of Consumer Accounts-Uva-Total				419112	407782.0	399578	390670.0	381433	364622	342013	325787	308707	401725	373819	353632	334922	318894	302111	283725	262723	249103	232622	217906	206377	135948	121233																																			
Electricity Sales-No. of Consumer Accounts-Western-Total				1445281	1409815.0	1381420	1349535.0	1316118	1281087	1235682	1200518	1169562	1135298	1094576	1060558	1031141	999482	958390	915165	1363463	1301050	1239605	1180700	1129799	1071556	893434																																			
Electricity Sales-Revenue-Central-Total				22318.74	21034.2	21319.97	19844.08	18977.97	17947.84	16496.37	17565.78	14652.73	11048.58	8933.23	8213.44	7532.16	7563.2	5977.71	4739.79	3366.64	3131.81	2964.48	2525.54	1915.61	2129.53	1849.99																																			
Electricity Sales-Revenue-Colombo City-Total				30629.47	30812.14	34734.66	33723.64	33146.57	32351.76	30020.55	33866.85	32620.62	29464.29	24205.75	21718.53	20878.7	20272.71	16055.62	12870.7	10770.53	9829.15	9170.26	7768.02	5327.39	4800.1	4587.33																																			
Electricity Sales-Revenue-Eastern-Total				12688.05	12110.92	11448.9	10753.44	10205.13	9414.52	8186.62	8488.76	8027.49	6718.67	5337.0	4974.02	4455.08	4211.51	3255.62	2661.22	1976.31	1480.46	1319.18	1138.49	847.18	733.49	730.44																																			
