sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Area Served by a Post Office				16	16	15	15	15	14	14	14	14	13	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	16	16	16	16																													
No. of Agency Post Offices				130	134	412	412	628	629	629	629	602	676	684	684	684	684	684	684	663	611	580	570	514	439	397	326	279	196	182	173	147																													
No. of Main Post Offices				654	653	653	653	653	652	653	653	651	651	648	648	643	643	641	636	633	630	622	614	602	597	586	582	575	573	562	557	544																													
No. of Postal Delivery Areas				8157	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729	6729																													
No. of Sub Post Offices				3409	3409	3409	3410	3409	3410	3410	3410	3375	3411	3410	3410	3410	3410	3412	3407	3408	3411	3428	3432	3440	3452	3454	3454	3453	3452	3404	3375	3351																													
Postal Services - Average population served by a post office				5283	5223	4872	4791	4572	4520	4468	4427	4447	4311	4401	4360	4322	4274	4230	4201	4176	4125	4141	4099	4126	4256	4295	4306	4311	4319	4372	4358	4366	4337	4336	4313	4305	4290	4334	4327	4293	4279	3986	4232	4224	4414	4613	4747	4794	4808	4825	4749	4692					4997	4957	4855	4759	4696
Postal Services - Post offices				4194	4196	4474	4475	4690	4691	4692	4692	4628	4738	4742	4742	4738	4737	4737	4727	4704	4711	4630	4616	4556	4488	4437	4362	4307	4245	4148	4105	4042	4018	3982	3945	3908	3869	3778	3727	3690	3646	3617	3591	3515	3341	3137	2989	2908	2853	2797	2797	2790					2400	2361	2356	2346	2322
