sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
General Government Revenue - Non-Tax Revenue										99099	144844	131552	142547	122165	92532	80711	69638	56104	49455	42918	29921	44868	40050	28456	28890																																				
General Government Revenue - Tax Revenue										1355779	1050362	1005895	908913	845697	724747	618933	585621	508947	428378	336828	281552	231597	221839	205840	182392																																				
General Government Revenue - Total Tax and Non Tax Revenue										1454878	1195206	1137447	1051460	967862	817279	699644	655259	565051	477833	379746	311473	276465	261888	234296	211282																																				
