sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Paddy Net Extent Harvested - Central				60.1	43.0	37.8	38.9	26.4	43.5	47.6	40.7	47.5	39.2	47.9	51.4	45.3	51.8	38.7	41.4	40.9																																									
Paddy Net Extent Harvested - Eastern				301.9	267.1	259.2	247.1	186.1	263.5	254.0	217.7	268.4	235.7	167.5	226.5	197.6	179.2	140.0	198.1	202.1																																									
Paddy Net Extent Harvested - North Central				303.3	240.6	225.7	191.0	110.0	240.1	268.6	152.2	260.4	210.2	255.0	225.1	188.7	230.9	178.5	190.6	193.4																																									
Paddy Net Extent Harvested - North Western				180.3	167.3	134.3	106.1	35.9	160.8	170.4	129.6	158.6	85.9	176.6	144.5	152.5	165.7	107.0	121.7	111.0																																									
Paddy Net Extent Harvested - Northern				123.3	104.0	94.8	72.5	41.4	86.0	93.9	33.2	75.1	72.0	62.0	25.8	18.1	42.5	42.2	52.7	57.1																																									
Paddy Net Extent Harvested - Sabaragamuwa				36.3	29.6	23.2	26.8	15.7	25.3	31.6	29.0	50.8	50.6	60.2	62.6	59.0	53.0	46.6	50.6	52.5																																									
Paddy Net Extent Harvested - Southern				118.8	94.9	83.6	99.4	70.5	83.1	99.4	91.0	82.3	77.9	89.0	91.2	88.1	88.7	72.0	67.1	71.7																																									
Paddy Net Extent Harvested - Uva				85.6	78.6	69.7	69.4	46.2	82.4	86.5	64.8	87.3	75.7	76.8	74.1	44.4	70.6	59.4	51.3	50.0																																									
Paddy Net Extent Harvested - Western				49.4	41.2	29.4	33.4	22.5	26.3	36.4	34.8	36.9	36.1	46.0	48.7	48.2	43.2	29.6	34.2	40.5																																									
Paddy Production				5149.6	5120.9	4592.1	3930	2383	4420	4819	3381	4621	3846	3894	4301	3652	3875	3131	3342	3246	2628	3071	2859	2695	2860	2857	2692	2239																																	
