sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Paddy Production - Central				234.2	206.8	179	167.8	113.5	181.6	201.6	164.0	203.8	161.8	175.4	209.4	167.9	193.4	148.0	149.7	149.6																																									
Paddy Production - Eastern				1297.6	1225.3	1155.4	1035.5	759.9	1112.6	1067.2	935.9	1039.5	1062.2	653.5	1067.0	916.9	830.1	649.6	839.4	797.5																																									
Paddy Production - North Central				1302.0	1292.8	1199.9	948.9	535.1	1190.9	1376.6	721.4	1225.7	1031.2	1165.5	1182.3	937.1	1102.7	898.8	916.8	934.1																																									
Paddy Production - North Western				679.0	766.7	607.4	447.0	152.3	627.3	630.0	496.9	688.0	330.4	625.6	576.2	579.1	587.8	424.9	442.8	369.3																																									
Paddy Production - Northern				491.5	481.1	449	290.1	160.6	352.7	403.3	124.5	313.6	259.9	207.9	110.6	65.4	139.3	146.0	184.0	200.7																																									
Paddy Production - Sabaragamuwa				129.9	133.6	106.2	108.4	56.2	105.8	126.2	113.1	249.3	227.8	270.2	290.7	269.8	232.3	200.1	212.1	201.8																																									
Paddy Production - Southern				489.2	493.6	450.4	525.6	329.8	414.7	507.5	429.5	402.2	332.3	367.3	384.3	368.9	362.1	313.2	279.7	273.5																																									
Paddy Production - Uva				381.6	371.8	342.5	293.2	201.2	344.4	379.5	289.0	381.2	324.4	296.6	323.0	193.4	294.3	256.8	213.8	204.2																																									
Paddy Production - Western				144.6	149.3	102.2	113.3	74.6	90.1	127.5	106.6	117.5	115.8	132.3	157.2	153.0	133.1	93.6	103.7	115.4																																									
Paddy Yield - Bushels per Acre - Central				76	93.0	92	84.0	83	81	82	78	83	80	71	79	72	72	74	70	71																																									
Paddy Yield - Bushels per Acre - Eastern				83	89.0	86	81.0	79	82	81	83	75	87	76	91	90	90	90	82	77																																									
Paddy Yield - Bushels per Acre - North Central				83	104.0	103	96.0	94	96	99	92	91	95	89	102	96	93	98	93	94																																									
Paddy Yield - Bushels per Acre - North Western				73	89.0	88	82.0	82	76	72	74	84	75	69	77	74	69	77	71	65																																									
Paddy Yield - Bushels per Acre - Northern				77	90.0	92	78.0	75	80	83	73	81	70	65	83	70	64	67	68	68																																									
Paddy Yield - Bushels per Acre - Sabaragamuwa				69	87.0	89	78.0	70	81	77	76	95	87	87	90	89	85	83	81	75																																									
Paddy Yield - Bushels per Acre - Southern				80	101.0	105	103.0	91	97	99	91	95	83	80	82	81	79	84	81	74																																									
Paddy Yield - Bushels per Acre - Uva				86	92.0	95	82.0	84	81	85	86	85	83	75	85	84	81	84	81	79																																									
Paddy Yield - Bushels per Acre - Western				57	70.0	67	66.0	64	67	68	59	62	62	56	63	62	60	61	59	55																																									
Paddy Yield - Kg per Hectare - Central				3897	4805.0	4734	4309.0	4297	4176	4238	4032	4294	4126	3660	4070	3709	3733	3826	3615	3660																																									
Paddy Yield - Kg per Hectare - Eastern				4298	4587.0	4458	4191.0	4083	4222	4201	4299	3873	4507	3902	4711	4640	4633	4640	4237	3945																																									
Paddy Yield - Kg per Hectare - North Central				4293	5373.0	5317	4969.0	4863	4961	5125	4741	4707	4906	4571	5253	4966	4775	5036	4809	4829																																									
Paddy Yield - Kg per Hectare - North Western				3765	4582.0	4524	4213.0	4247	3902	3697	3834	4337	3845	2543	3987	3796	3547	3973	3638	3327																																									
Paddy Yield - Kg per Hectare - Northern				3985	4627.0	4737	4003.0	3883	4099	4295	3748	4175	3610	3355	4291	3613	3278	3458	3490	3516																																									
Paddy Yield - Kg per Hectare - Sabaragamuwa				3578	4510.0	4568	4038.0	3592	4179	3995	3905	4908	4507	4488	4644	4572	4387	4298	4193	3844																																									
Paddy Yield - Kg per Hectare - Southern				4116	5200.0	5390	5285.0	4680	4988	5108	4717	4884	4263	4129	4215	4186	4084	4349	4166	3816																																									
Paddy Yield - Kg per Hectare - Uva				4456	4732.0	4915	4227.0	4354	4178	4388	4457	4364	4284	3860	4358	4356	4170	4326	4168	4085																																									
Paddy Yield - Kg per Hectare - Western				2927	3620.0	3474	3398.0	3317	3433	3501	3064	3183	3205	2876	3232	3173	3084	3162	3035	2850																																									
