sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Inland Fish Production - All Island				104235	101810	90340	87690	81870	73930	67300	75750	66910	68950	59560	52410	46560	44490	38380	35290	32830	33180	30280	28130	29870	36700																																				
Marine Fish Production-All Island				331675	326930	415490	439370	449440	456990	452890	459300	445930	417220	385270	332260	293170	274630	252670	215980	130400	253190	254680	274760	254890	267680																																				
Total Fish Production				435910	428740	505830	527060	531310	530920	520190	535050	512840	486170	444830	384670	339730	319120	291050	251270	163230	286370	284960	302890	284760	304380																																				
