sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Beef Production				30.84	29.54	29.87	28.42	30.13	31.54	32.02	33.89	34.96	33.84	30.5	38.6	36.6	36.1	35.7	27.41	29.28	28.2	29.4	27.9	27.41	28.72	31.52	31.73	33.29																																	
Egg Production				1953.71	1869.69	2084.2	1972.2	2072.9	2059.7	1898.86	1721.3	1636.84	1457.1	1185.32	1139.94	1142.24	1039.0	1212.0	901.18	864.55	874.6	884.88	890.74	946.09	923.02	897.98	875.83	854.87																																	
Mutton Production				1.98	1.96	1.81	1.63	1.42	1.4	1.35	1.8	1.8	1.6	1.72	1.71	1.72	1.68	1.6	1.58	1.49	1.43	1.41	1.61	1.58	1.69	1.65	1.61	1.91																																	
National Milk Production				513.31	491.54	447.6	471.6	396.2	384.0	374.4	119.88	121.87	116.82	111.11	108.71	99.56	99.25	92.48	88.51	82.08	83.73	83.87	81.13	81.6	85.19	82.28	79.94	77.06																																	
Pork Production				9.44	9.0	9.0	10.43	7.89	7.28	7.18	7.06	7.04	7.03	6.7	10.4	11.8	11.1	14.9	12.5	11.0	10.3	2.16	1.86	1.95	1.75	1.65	1.92	2.15																																	
Poultry Production				236.67	216.16	224.0	205.82	200.98	182.69	164.45	150.98	144.54	137.39	116.76	104.16	99.28	102.52	100.06	95.0	97.26	94.7	88.06	85.7	82.06	63.17	57.0	59.05	57.7																																	
