sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
EDS - Central Bank - long term					2347.58	1861.63	1542.17	1328.6	1485.55	2340.21	1820.7	2664.8	3318.1																																																
EDS - Central Bank - short term					342.84	456.49	432.49	595.82	536.15	482.68	443.1	290.8	232.3																																																
EDS - Deposit Taking Corporations - long term					1150.12	1478.03	2006.64	3570.67	3543.36	3393.39	3386	2874.7	1214.8																																																
EDS - Deposit Taking Corporations - short term					5507.2	5518.83	5352.6	5140.37	5247.09	5762.46	4746.6	3883.6	3701.0																																																
EDS - General Government - long term					28182.97	34130.47	31951.81	31188.24	27117.67	24647.41	23733.3	21782.8	21547.4																																																
EDS - General Government - short term					3.57	118.56	59.58	166.73	79.73	33.41	398.8	507.3	576.0																																																
EDS - Other Sectors - long term					4335.36	4313.12	4472.5	4351.61	4291.11	4192.14	4167.1	3712.6	2823.3																																																
EDS - Other Sectors - short term					2340.86	2155.99	2184.4	1930.14	1483.23	1374.56	1674.4	2088.5	1909.7																																																
EDS -Direct Investment - Intercompany Lending					5001.12	4778.38	4409.62	3331.77	2801.82	2613.14	2544	2100.2	1775.6																																																
External Debt Statistics (EDS) - Outstanding Total External Debt					49211.62	54811.5	52411.81	51603.94	46585.7	44839.4	42914.1	39905.3	37098.1																																																
