sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Mid Year Population-Central				2811	2781	2766	2750	2722	2691	2659	2633	2606	2582	2727	2696	2668																																													
Mid Year Population-Eastern				1783	1746	1729	1710	1677	1641	1611	1592	1574	1561	1584	1561	1540																																													
Mid Year Population-North Central				1402	1386	1377	1366	1349	1337	1318	1302	1285	1272	1254	1238	1224																																													
Mid Year Population-North western				2592	2563	2551	2536	2508	2477	2447	2425	2405	2389	2377	2353	2332																																													
Mid Year Population-Northern				1165	1152	1143	1131	1119	1105	1095	1086	1074	1065	1160	1149	1145																																													
Mid Year Population-Southern				2696	2669	2654	2637	2611	2586	2557	2533	2508	2485	2518	2495	2470																																													
Mid Year Population-Uva				1400	1387	1376	1364	1349	1340	1321	1303	1286	1271	1349	1333	1316																																													
Mid Year Population-Western				6219	6165	6149	6129	6081	6023	5974	5934	5896	5865	5946	5891	5841																																													
Mid Year Population-sabaragamuwa				2088	2070	2058	2047	2028	2009	1988	1970	1951	1935	1977	1959	1940																																													
