sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Estimated Rubber Production - Central				1.3	1.4	1.3	1.8	1.8	1.8	2.3	2.6	3.2	4.1	4.2	3.8	4.2	2.4	3.0	2.8	2.7																																									
Estimated Rubber Production - Eastern				0.2	0.1	0.1																																																							
Estimated Rubber Production - North Central																																																													
Estimated Rubber Production - North Western				1.3	1.5	1	1.6	1.7	1.7	2.0	2.3	2.6	3.4	3.6	4.0	3.4	1.8	2.3	2.1	2.1																																									
Estimated Rubber Production - Northern																																																													
Estimated Rubber Production - Sabaragamuwa				41.3	44.5	42	44.4	45.0	41.4	45.6	50.7	67.4	78.2	81.4	75.4	63.6	61.9	58.7	54.5	52.1																																									
Estimated Rubber Production - Southern				5.3	2.8	4	6.6	6.9	6.8	7.8	8.7	11.6	13.4	13.9	12.2	10.4	11.5	9.4	8.7	8.4																																									
Estimated Rubber Production - Uva				5.0	2.5	2.4	2.3	1.7	1.5	1.7	1.9	2.5	3.0	3.1	7.8	8.7	2.4	2.0	1.9	1.8																																									
Estimated Rubber Production - Western				22.4	25.3	24	25.8	25.9	25.8	29.1	32.4	43.0	49.9	52.0	49.7	46.5	49.2	42.1	39.1	37.3																																									
