sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Capital Expenditure on Higher Education					12756	15377	15201	14578	14719	9735	11200	6183	4941	3788	2666	2648	3233	3129	2816	2133	1384	1173	1097	1439	1464	1353	1519	1331	970	630	548	772	966	390																											
General Governmnet Expenditure - Capital Expenditure										588175	459855	454303	400082	377812	302087	277416	232607	206162	162213	140154	83807	75089	58595	67902	67769																																				
General Governmnet Expenditure - Recurrent Expenditure										1701658	1322898	1205180	1131023	1024906	937094	879575	743710	622758	547960	443350	389679	334694	330847	303361	254279																																				
General Governmnet Expenditure - Total Expenditure										2290394	1795865	1669396	1556499	1433182	1280205	1201927	996126	841604	713646	584783	476907	417673	402990	386518	335823																																				
Government expenditure on education as a per cent of GDP				1.85		1.93	1.9	1.94	2.0	2.06	1.84	1.58	1.56	1.68	1.63	2.08	2.27	2.59	2.67	2.59	2.03	2.15	2.35	2.01	2.46	2.65	2.62	2.51	2.65	2.83	3.06	2.82	2.95	2.45	2.97	3.23	2.88	2.47	2.8	2.74	2.02	2.33	2.5	2.38	2.77	2.65	2.67	2.68	3.02	2.66	2.89	3.6	5.16	4.15	3.53	3.49	4.01	4.06	4.2	4.44	4.59
Government expenditure on health as a per cent of GDP				2.3		1.6	1.5	1.48	1.56	1.62	1.34	1.25	1.13	1.24	1.15	1.48	1.69	1.92	1.97	1.83	1.65	1.51	1.57	1.33	1.65	1.41	1.42	1.36	1.56	1.64	1.59	1.41	1.54	1.4	1.54	1.84	1.77	1.72	1.25	1.29	1.14	1.68	1.14	1.18	2.02	1.92	1.63	1.37	1.65	1.55	1.53	1.78	2.54	2.09	2.14	2.12	2.06	2.09	2.07	2.06	2.05
Recurrent Expenditure on Higher Education					56819	57231	44316	37357	34195	30848	25737	21655	16865	14307	12352	11044	10592	11775	9791	6045	7622	5534	5212	4945	3947	3642	3608	3056	2464	2284	2049	1809	1385	1080																											
Total Expenditure on Higher Education					69575	72608	59517	51935	48914	40583	36937	27838	21806	19700	15018	13692	13825	12281	12607	8178	7622	6707	6309	6384	5411	4995	5127	4386	3434	2914	2597	2581	2351	1470																											
