sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984
Public Sector Employment-All				1493472	1461071	1417344	1424146	1396725	1389767	1375130	1345093	1289151	1248640	1229788																											
Public Sector Employment-Government Institutions				1258440	1223617	1172071	1179649	1152211	1146995	1136656	1109186	1033850	993912	980589																											
Public Sector Employment-Semi Government Institutions				235032	237454	245273	244497	244514	242772	237811	261683	255301	254728	249199																											
