sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Road Kilometerage-Ampara-Class A				307	307	273	273	273	273	273	273	273	273	141	273	141	273																																												
Road Kilometerage-Ampara-Class B				281	281	282	282	282	282	282	282	282	282	209	282	186	282																																												
Road Kilometerage-Ampara-Class C				323	149	319	319	319	292	292	256	254	256	256	256	256	256																																												
Road Kilometerage-Ampara-Class D				153	92	128	128	128	120	120	155	131	155	155	155	155	155																																												
Road Kilometerage-Ampara-Class E																																																													
Road Kilometerage-Ampara-Expressways																																																													
Road Kilometerage-Ampara-Total				1064	829	1002	1002	1002	967	967	966	940	966	761	966	738	966																																												
Road Kilometerage-Anuradhapura-Class A				349	349	350	350	350	350	350	350	353	353	353	353	352	353																																												
Road Kilometerage-Anuradhapura-Class B				471	471	471	471	471	471	471	471	468	468	468	468	447	447																																												
Road Kilometerage-Anuradhapura-Class C				741	741	741	741	741	741	741	741	741	741	740	740	740	767																																												
Road Kilometerage-Anuradhapura-Class D				698	698	698	698	698	698	698	698	698	698	716	716	716	663																																												
Road Kilometerage-Anuradhapura-Class E																																																													
Road Kilometerage-Anuradhapura-Expressways																																																													
Road Kilometerage-Anuradhapura-Total				2258	2258	2259	2259	2259	2259	2259	2259	2259	2259	2277	2277	2255	2229																																												
Road Kilometerage-Badulla-Class A				264	264	267	267	267	267	267	267	267	267	267	267	264	267																																												
Road Kilometerage-Badulla-Class B				432	432	432	432	432	432	432	432	432	432	432	432	432	432																																												
Road Kilometerage-Badulla-Class C				1109	1109	1109	1109	1109	1109	1109	1109	1001	1001	1001	1001	1001	1010																																												
Road Kilometerage-Badulla-Class D				406	406	406	406	406	406	406	406	180	180	180	180	180	171																																												
Road Kilometerage-Badulla-Class E																																																													
Road Kilometerage-Badulla-Expressways																																																													
Road Kilometerage-Badulla-Total				2211	2211	2214	2214	2214	2214	2214	2214	1880	1880	1880	1880	1877	1880																																												
Road Kilometerage-Batticaloa-Class A				172	172	206	206	206	206	206	206	206	206	206	206	206	206																																												
Road Kilometerage-Batticaloa-Class B				61	61	61	61	61	61	61	61	61	61	61	61	61	61																																												
Road Kilometerage-Batticaloa-Class C				388	350	335	313	313	313	313	254	256	254	254	254	254	254																																												
Road Kilometerage-Batticaloa-Class D				41	49	44	45	45	44	44	131	155	131	131	131	131	131																																												
Road Kilometerage-Batticaloa-Class E																																																													
Road Kilometerage-Batticaloa-Expressways																																																													
Road Kilometerage-Batticaloa-Total				662	631	666	624	624	623	623	652	678	652	652	652	652	652																																												
Road Kilometerage-Central-Class A				409	409.0	409	409.0	409	409	409	409	409	409	409	409	409	409	409	409	471	471	471	471	471	409																																				
Road Kilometerage-Central-Class B				1334	1334.0	1334	1338.0	1338	1338	1338	1338	1338	1338	1331	1331	1316	1311	1311	1311	1307	1294	1294	1294	1284	1284																																				
Road Kilometerage-Central-Class C				1664	1664.0	1664	1666.0	1666	1666	1666	1666	1665	1665	1665	1665	1665	1665	1665	1665	1813	1813	1813	1813	1813	1813																																				
Road Kilometerage-Central-Class D				580	580.0	580	578.0	578	578	578	578	578	578	578	578	578	578	578	578	325	325	325	325	325	325																																				
Road Kilometerage-Central-Class E																				386	386	386	300																																						
Road Kilometerage-Central-Expressways																																																													
Road Kilometerage-Central-Total				3986	3986.0	3986	3991.0	3991	3991	3991	3991	3990	3990	3982	3982	3967	3963	3962	3962	4302	4289	4289	4204																																						
Road Kilometerage-Colombo-Class A				166	166	166	166	166	166	166	166	166	166	166	166	166	166																																												
Road Kilometerage-Colombo-Class B				271	298	267	261	261	261	261	261	258	258	258	258	258	258																																												
Road Kilometerage-Colombo-Class C				233	242	242	242	242	242	242	211	211	211	211	211	211	211																																												
Road Kilometerage-Colombo-Class D				162	162	162	162	162	162	162	193	193	193	188	193	188	166																																												
Road Kilometerage-Colombo-Class E																																																													
Road Kilometerage-Colombo-Expressways				36	36	36	34	34	34	34	34	9	9	9																																															
Road Kilometerage-Colombo-Total				866	903	873	870	864	864	864	865	837	837	832	828	823	801																																												
Road Kilometerage-Eastern-Class A				620	620.0	620	620.0	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620	620																																				
Road Kilometerage-Eastern-Class B				551	551.0	551	551.0	551	551	551	551	551	551	551	551	528	528	528	528	527	527	527	527	484	484																																				
Road Kilometerage-Eastern-Class C				936	724.0	889	848.0	848	817	817	817	722	722	722	722	722	722	722	722	566	556	556	556	556	556																																				
Road Kilometerage-Eastern-Class D				297	243.0	276	273.0	273	263	263	263	376	376	376	376	376	376	376	376	1003	1003	1003	1003	1003	1003																																				
Road Kilometerage-Eastern-Class E																				141	141	141	141																																						
Road Kilometerage-Eastern-Expressways																																																													
Road Kilometerage-Eastern-Total				2404	2138.0	2332	2292.0	2292	2251	2251	2251	2269	2269	2269	2269	2246	2246	2246	2246	2857	2847	2847	2720																																						
Road Kilometerage-Galle-Class A				97	97	97	97	97	97	97	97	97	97	97	97	97	97																																												
Road Kilometerage-Galle-Class B				392	392	393	393	393	393	393	393	393	393	393	393	393	393																																												
Road Kilometerage-Galle-Class C				387	387	387	387	387	387	387	387	387	389	389	389	389	381																																												
Road Kilometerage-Galle-Class D				272	272	272	272	272	272	272	272	272	272	272	272	272	283																																												
Road Kilometerage-Galle-Class E																																																													
Road Kilometerage-Galle-Expressways				60	60	60	60	60	60	60	60	42	42	42																																															
Road Kilometerage-Galle-Total				1208	1208	1209	1209	1209	1209	1209	1209	1191	1192	1192	1150	1150	1153																																												
Road Kilometerage-Gampaha-Class A				128	128	128	128	128	128	128	128	128	128	128	128	128	128																																												
Road Kilometerage-Gampaha-Class B				624	618	622	622	622	622	622	621	621	616	610	610	610	610																																												
Road Kilometerage-Gampaha-Class C				355	385	385	385	385	385	385	370	370	370	370	370	370	370																																												
Road Kilometerage-Gampaha-Class D				494	499	499	499	499	499	499	515	515	515	506	515	506	476																																												
Road Kilometerage-Gampaha-Class E																																																													
