sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
CHILLIES (GREEN) Production				67.15	79.32	60.59	79.0	51.83	72.31	62.87	71.13	71.18	61.54	41.65	49.0	46.41	51.31	48.7	50.66	52.87	40.47	46.19	46.35	49.04	55.86	60.07	62.47	72.23																																	
COCOYAM Production				48.97	39.05	40.03	33.37	34.97	36.86	35.97	27.53																																																		
COWPEA Production				11.88	13.22	8.07	9.86	9.39	13.74	12.28	15.12	14.19	14.81	10.45	11.61	13.49	11.95	10.86	10.11	11.18	9.16	12.9	10.44	9.84	12.12	12.1	13.4	13.98																																	
CUCUMBER Production				36.65	38.68	34.86	43.94	31.45	38.29	47.58	37.13	39.33	32.34	32.05	33.63	31.76	31.07	28.29	24.62	26.69	22.9	23.39	20.99	18.45	20.13	19.38	19.08	18.27																																	
EGG PLANT Production				16.89	16.4	14.47	19.79	17.23	14.5	16.48	17.97																																																		
GHERKIN Production				2.59	3.55	4.18	5.83	1.68	1.52	1.98	2.86																																																		
GINGELLY Production				12.0	8.22	6.09	8.59	7.75	14.91	13.29	14.16	14.24	12.44	11.29	16.95	8.53	6.34	6.3	5.97	6.16	4.35	5.49	4.07	4.21	4.6	7.77	5.72	6.63																																	
GINGER (RAW) Production				56.83	42.01	15.69	14.21	16.33	23.18	17.27	15.48	14.08	14.91	13.66	12.05																																														
GREEN GRAM Production				18.93	13.5	7.36	9.86	9.39	14.55	15.06	14.35	14.25	11.96	10.84	9.33	9.26	8.88	8.52	7.98	9.0	7.81	10.6	9.6	9.9	11.7	13.8	15.6	13.8																																	
GROUND NUTS Production				36.95	36.38	26.92	27.6	22.47	24.2	28.5	25.43	27.49	21.95	16.9	14.35	13.08	10.25	9.83	9.82	9.03	7.93	6.58	5.73	6.46	7.07	6.54	6.26	5.26																																	
INNALA Production				8.83	3.41	2.46	1.79	1.54	2.12	1.4	1.99																																																		
KNOLKHOL Production				15.63	17.05	15.31	19.5	14.15	15.86	16.95	18.6	17.81	14.29	13.12	13.0	12.29	15.95	14.95	15.18	15.34	14.43	14.24	14.24	16.32	14.99	15.05	14.02	12.54																																	
KURAKKAN Production				8.06	6.25	5.47	8.06	5.57	8.57	8.92	8.85	7.01	5.98	5.41	7.31	6.43	6.51	5.46	6.3	6.45	4.67	5.27	4.07	4.19	4.85	4.81	4.39	3.5																																	
LEEKS Production				44.73	35.7	31.88	51.33	56.05	61.12	41.43	37.9	24.66	35.44	31.55	26.07	26.79	27.12	29.11	13.76	28.45	29.72	22.42	23.15	24.19	21.97	19.83	17.57	18.75																																	
LONG BEAN Production				64.37	75.65	63.93	60.54	55.85	55.86	56.39	51.43																																																		
LUFFA Production				45.41	45.95	38.11	46.12	46.19	40.42	46.68	48.4	46.4	42.79	43.22	45.13																																														
MAIZE Production				472.44	313.52	245.65	270.04	195.74	243.96	261.12	240.56	209.04	202.31	137.8	142.87	129.77	112.29	56.44	47.53	41.8	35.2	29.8	27.7	29.0	31.0	31.4	33.9	22.8																																	
MANIOC Production				310.51	314.85	281.08	323.11	306.35	324.08	324.1	302.49	302.78	291.35	292.74	282.76	277.85	240.73	219.93	226.07	223.21	219.91	228.84	224.98	233.58	249.11	251.51	257.16	249.78																																	
MENERI Production				0.35	0.11	0.07	125.8	113.6	127.2	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.03	0.05	0.05	0.06	0.1	0.13	0.07	0.07	0.12	0.1	0.14	0.11																																	
MUSTERD Production				0.37	0.06	0.15	0.22	0.19	0.22	0.25	0.26	0.19	0.15	0.17	0.41	0.3	0.31	0.25	0.26	0.31	0.18	0.28	0.19	0.17	0.25	0.23	0.25	0.28																																	
POTATOES Production				75.91	65.09	101.64	88.9	73.36	95.81	97.39	82.37	78.75	72.19	59.36	60.36	61.7	74.82	77.38	78.49	79.45	81.27	71.7	88.7	57.8	48.4	27.2	25.9	65.8																																	
RADDISH Production				58.87	55.77	44.24	63.14	49.51	56.77	54.26	60.62	57.98	44.51	41.14	36.09	33.89	37.83	31.73	27.01	26.89	26.02	20.08	22.43	25.33	26.04	24.76	22.14	21.63																																	
RED ONIONS Production				53.78	65.87	58.24	61.07	57.75	63.68	61.2	63.04	55.59	73.97	72.34	61.81	46.23	49.29	57.04	60.75	53.73	39.46	35.51	35.33	36.86	42.5	42.65	38.04	44.8																																	
RED PUMPKIN Production				112.14	113.32	97.47	123.26	82.93	98.3	105.88	116.5	115.11	102.8	118.62	108.9	107.32	87.7	86.91	73.31	79.21	67.96	63.83	59.58	58.53	62.31	56.59	54.3	60.57																																	
SNAKE GOURD Production				34.76	32.87	29.81	33.51	28.85	31.92	44.06	38.64	40.07	38.33	43.78	32.83	33.42	32.45	25.04	21.2	19.98	21.01	18.18	19.39	17.33	19.12	19.18	18.2	19.04																																	
SORGHUM Production				0.32	0.34	0.14	0.17	1.3	0.16	0.1	0.12																																																		
SOYA BEANS Production				3.79	7.88	2.2	2.5	14.36	7.95	11.25	6.8	13.45	1.67	3.85	7.52	3.79	3.03	4.8	5.18	4.99	1.89	2.96	1.16	0.62	0.65	0.8	0.6	0.42																																	
SWEET POTATOES Production				43.27	44.58	35.61	43.32	40.69	44.72	51.99	50.97	53.38	43.61	46.52	46.46	47.27	52.5	49.16	41.59	41.18	39.71	44.06	47.46	48.54	51.81	51.64	52.49	54.13																																	
Sugar Production				70.61	59.87	52.3	51	56	61	56	52	53	36	35	31	32	39	29	56	54	58	57	38	48	64	66	61	64																																	
TOMATOES Production				72.59	90.51	77.92	101.4	80.84	92.75	79.55	86.12	86.23	82.25	76.11	75.34	73.92	84.95	65.16	60.94	56.8	53.77	44.97	41.24	40.98	43.95	39.71	36.44	32.47																																	
TUMERIC (RAW) Production				51.82	39.72	11.1	10.73	10.27	25.2	14.4	11.35	11.28	8.71	9.31	8.3																																														
VATANA Production				9.51	10.38	8.96	11.46	8.53	8.57	9.74	7.67																																																		
WINGED BEAN Production				20.31	20.63	18.23	18.29	16.39	15.96	15.79	12.86																																																		
