sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
ARECANUT Production				82.13	63.99	53.65	54.69	46.33	63.39	41.17	47.26	38.74	37.52	31.6	29.88	27.87	26.86	25.87	24.61	28.19	23.83	21.91	25.19	24.15	24.0	24.75	24.06	23.9																																	
ASH PLANTAIN Production				69.39	68.13	63.46	81.2	72.7	82.23	85.09	81.34	88.68	101.83	93.21	87.32	77.63	78.57	77.35	64.64	69.65	73.67	72.94	68.32	71.43	84.22	78.97	78.85	72.6																																	
ASH PUMPKIN Production				11.31	11.42	10.25	8.92	8.79	12.02	8.72	9.29	9.15	10.88	9.79	10.55	9.58	9.92	10.04	5.93	7.69	5.76	7.32	6.36	5.63	5.79	6.38	7.1	6.52																																	
BANDAKKA Production				72.98	81.44	72.23	68.52	61.43	66.72	66.12	65.22	69.62	65.45	58.68	57.79	56.55	52.43	42.94	40.47	40.74	36.35	36.79	37.67	36.21	40.72	39.79	38.02	36.78																																	
BEANS Production				76.86	82.97	65.45	83.96	87.39	83.37	66.16	83.25	83.57	46.99	40.39	42.69	40.51	42.57	41.33	40.55	40.78	39.6	31.69	32.65	30.89	34.65	31.52	28.69	30.18																																	
BEATLE LEAVES Production				5.1	8.4	8.2	3.06	3.63	7.03	31.35	35.8	29.17	28.01	29.72	27.62	25.0	24.1	25.39	24.58	22.51	24.3	28.84	30.68	26.41	26.0	27.34	46.8	41.75																																	
BEETROOT Production				40.99	36.26	30.05	51.0	34.19	45.1	50.17	52.72	46.89	35.51	28.5	27.96	26.66	25.95	27.35	23.6	22.56	19.64	15.57	16.5	17.74	17.24	16.48	14.96	14.78																																	
BIG ONIONS Production				65.91	43.02	18.6	28.05	53.6	65.22	89.32	101.17	69.64	83.56	45.68	58.93	81.71	57.37	92.17	73.62	55.55	37.51	32.31	31.56	31.97	36.56	62.72	17.44	29.14																																	
BITTER GOURD Production				47.55	47.63	40.97	47.61	37.01	42.1	43.51	46.48	46.14	44.1	42.15	41.39	39.69	38.14	30.02	26.89	25.44	26.09	20.12	20.88	18.62	20.8	20.55	20.56	19.61																																	
BLACK GRAM Production				14.4	9.56	4.91	11.85	7.33	11.2	11.9	9.66	9.18	10.18	5.78	9.99	7.07	9.48	7.75	7.47	6.92	4.96	5.94	5.09	5.13	5.42	6.73	8.05	6.85																																	
BRINJALS Production				128.35	141.88	134.86	129.21	108.86	127.19	123.63	123.32	129.91	127.16	116.59	107.3	106.38	105.05	92.9	88.2	83.04	80.37	74.47	70.63	69.58	76.52	74.2	68.85	66.88																																	
CABBAGE Production				129.11	125.75	116.58	111.14	99.62	123.37	117.1	105.55	104.51	73.38	69.76	62.83	62.77	77.07	63.84	59.23	63.77	60.51	52.22	49.34	53.94	53.42	52.44	47.38	37.56																																	
CAPSICUM Production				27.48	31.51	26.41	32.31	26.95	30.43	32.36	25.22	26.44	16.29	14.42	13.05	14.41	16.98	14.08	13.47	14.12	12.76	12.5	11.14	11.43	12.23	12.16	11.79	11.22																																	
CARROT Production				95.42	90.22	80.77	71.05	71.61	82.04	67.67	59.77	56.2	34.33	37.8	34.17	35.83	39.48	38.11	36.25	36.92	34.35	27.21	28.16	28.42	25.94	26.67	25.17	25.14																																	
