sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
IIP - Direct Investment - Assets					1508.64	1497.34	1432.67	1374.71	1136.2	816.58	607	540.2	475.1																																																
IIP - Direct Investment - Liabilities					13831.9	13065.41	12575.24	10754.9	9744.58	10021.51	10571.8	8959.5	8086.7																																																
