sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Thrift & Credit Co-operative Societies-Loans Granted-Agriculture & Animal Husbandry				4972	5220	3282	3030	3163	5049	1959	1734.0	1561.0	1461.0	1243.0	1037.0	955.0	755.0	635.0	562.0	496.0	496	563	738	697	351	561	313	352	299																																
Thrift & Credit Co-operative Societies-Loans Granted-Commerce & Other Projects						6344	5857	2173	2331	904	734.0	664.0	564.0	673.0	865.0	796.0	503.0	501.0	369.0	312.0	312	302	285	270	273	458	279	645	542																																
Thrift & Credit Co-operative Societies-Loans Granted-Housing Electrification & Water				6482	6807	8965	8277	7073	6583	2554	1460.0	1603.0	1360.0	915.0	695.0	732.0	1001.0	913.0	993.0	470.0	470	1080	1233	1170	1428	694	352	208	182																																
Thrift & Credit Co-operative Societies-Loans Granted-Other				1514	1590	1065	983	805	1538	597	523.0	462.0	357.0	672.0	335.0	345.0	638.0	343.0	429.0	677.0	677	727	705	801	637	525	305	877	791																																
Thrift & Credit Co-operative Societies-Loans Granted-Small Industries				2658	2791	5534	5109	2450	2699	1047	357.0	476.0	434.0	483.0	273.0	265.0	208.0	192.0	172.0	815.0	815	249	62	59	156	245	113	99	99																																
Thrift & Credit Co-operative Societies-Loans Granted-Total				15626	16408	25189	23256	15664	18200	7060	4808.0	4766.0	4175.0	3986.0	3205.0	3093.0	3105.0	2584.0	2525.0	2770.0	2770	2921	3023	2996	2845	2483	1362	2335	1913																																
