sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Sabaragamuwa				31250	29975.0	27447	24115.0	22668	22116	20858	15729	14027	12477	11687	10347	9972	8272	8442	6579	5197	4024	3574	3048		2680	2400																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Southern				40344	37797.0	33314	29693.0	27548	28191	25637	20146	17759	16381	15740	13735	13000	10789	11560	9412	7239	5855	5129	4333		3783	3396																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Total				323762	312078	286885	256930	241338	237655	222223	172131	154129	139120	129601	119162	111334	91339	76580	76428	59128	46309	39801	33481	28856		26264	25230	22055	20941																																
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Uva				26867	25157.0	22749	20307.0	20069	19386	18590	13871	13899	11255	10101	9079	8801	7007	6791	5623	4412	3464	2897	2359		2011	3634																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Western				66424	66843.0	61380	55287.0	52651	54325	49434	38582	34435	31358	28616	27675	25269	20808	20459	17671	13625	10609	9001	7923		6543	5870																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total				331792	315605	291254	287969	275080	265623	242410	194039	170989	155984	145461	133761	128064	94326	79190	78825	61672	48106	42069	35022	30994		32072	30285	26502	25228																																
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Central				42257	40008.0	37816	34200.0	31832	31964	29511	23179	21555	19545	18801	17641	16814	12635	11840	10358	8294	6461	5574	4850		4366	2322																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Eastern				31181	29388.0	26259	25895.0	24800	22230	21279	16635	20029	13637	13040	12085	11249	7950	7796																																											
Revenue and Expenditure of Provincial Councils-Expenditures-Total-North-Central				22911	21486.0	20205	20953.0	20042	19853	16829	13175	14370	10590	10628	9868	8981	6169	6382	5525	4664	3592	3095	2670		2368	3986																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total-North-Western				37809	35468.0	34281	32392.0	31333	29968	28247	24080	11647	18368	18181	16528	15954	12437	12807	10417	7862	6113	5391	4592		3991	4350																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Northern				28118	26883.0	24729	24483.0	24097	22084	20171	15142	13034	11687	11009	10176	9365	6436	6831																																											
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Sabaragamuwa				31898	30288.0	27842	26527.0	27207	25613	24209	17962	15444	13959	13095	11773	11635	8545	8727	6806	5356	4267	3703	3153		2891	2863																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Southern				42822	39790.0	35510	34632.0	32978	31698	27662	22115	19158	17780	17720	15504	14613	11229	12251	9913	7750	6189	5612	4642		4147	4423																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Uva				27765	25351.0	23121	22702.0	22980	21670	20414	16182	15254	12994	11431	11060	10872	7112	6946	5679	4509	3546	2964	2458		2166	4269																																			
Revenue and Expenditure of Provincial Councils-Expenditures-Total-Western				67032	66941.0	61491	66185.0	59810	60544	54088	45568	40497	37423	31556	29126	28579	21873	21283	18310	14493	11148	10022	8315		7026	7023																																			
