sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Central				581	202.0	249	1922.0	1477	2665	1513	1507	1545	1545	1875	1796	2027	301	280	310	268	201	141	198		346	113																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Eastern				757	196.0	248	1309.0	2749	1954	1393	1188	902	830	964	1195	1367	258	117																																											
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-North-Central				751	144.0	282	2863.0	3012	3121	1980	1578	298	1687	2432	1934	1585	154	264	214	201	123	105	107		135	231																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-North-Western				716	130.0	250	1927.0	2806	1951	1649	2918	1850	1085	1629	1547	1549	306	329	319	246	116	159	248		287	254																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Northern				595	255.0	265	2373.0	3659	2772	1798	1217	1032	1032	1302	1500	1545	85	105																																											
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Sabaragamuwa				648	313.0	395	2412.0	4539	3497	3351	2234	1417	1482	1408	1426	1663	273	285	227	159	243	129	105		211	160																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Southern				2477	1993.0	2197	4939.0	5430	3507	2025	1969	1399	1399	1980	1769	1613	440	691	501	511	334	483	309		364	247																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Total				8030	3527	4369	31040	33742	27967	20187	21908	16861	16864	15860	14599	16729	2987	2610	2397	2544	1798	2268	1541	2138		2433	1507	1400	1187																																
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Uva				898	195.0	372	2395.0	2911	2284	1824	2312	1355	1739	1330	1981	2071	105	155	56	97	82	67	99		156	182																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Capital Expenditure-Western				608	99.0	111	10898.0	7158	6218	4654	6986	6062	6065	2940	1451	3310	1065	824	639	868	538	1021	392		483	737																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Central				41676	39806.0	37567	32278.0	30355	29300	27998	21672	20010	18000	16926	15845	14787	12334	11560	10048	8026	6260	5433	4652		4020	1876																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Eastern				30424	29193.0	26012	24586.0	22052	20276	19886	15447	19128	12807	12076	10890	9882	7692	7679																																											
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-North-Central				22160	21342.0	19922	18090.0	17030	16732	14848	11597	13072	8903	8196	7934	7397	6015	6118	5311	4463	3468	2990	2563		2233	3416																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-North-Western				37093	35338.0	34031	30465.0	28527	28017	26598	21162	9797	17283	16552	14981	14406	12131	12478	10098	7616	5997	5232	4344		3704	3710																																			
Revenue and Expenditure of Provincial Councils-Expenditure-Recurrent (Inclu. Local Govt.)-Northern				27524	26628.0	24463	22109.0	20438	19313	18373	13925	12002	10655	9707	8676	7821	6351	6726																																											
