sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
BOP - Direct Investment - Assets					14.54	77.36	67.86	71.79	236.81	52.99	66.8	65.1	63.9																																																
BOP - Direct Investments - Liabilities					433.87	743.47	1614.04	1372.72	898.08	679.66	893.6	932.6	941.1																																																
BOP - Other Investments- Currency and Deposits -Assets					64.44	-92.68	79.55	78.33	4.82	142.69	275.7	-458.7	161.9																																																
BOP - Other Investments- Currency and Deposits -Liabilities					-14.77	167.49	-632.43	-228.36	-609.2	1456.98	-292.2	107.7	446.7																																																
BOP - Other Investments- Loans -Assets					0	0	0	0	0	0	0	0	0.0																																																
BOP - Other Investments- Loans -Liabilities					326.57	-245.34	1619.85	1888.72	753.36	759.17	1712.9	1118.1	3070.4																																																
BOP - Other Investments- Other accounts payable -Liabilities					-113.63	24.11	-162.39	61.34	54.96	41.47	151.4	57.6	-562.7																																																
BOP - Other Investments- Other accounts receivable -Assets					23.78	196.37	115.75	-31.07	378.95	244.5	314.3	42.2	110.5																																																
BOP - Other Investments- Trade Credits -Assets					-224.02	-3.84	176.79	34.63	-66.67	116.22	383	225.4	90.2																																																
BOP - Other Investments- Trade Credits -Liabilities					184.87	-28.41	247.5	194.76	108.67	-400.64	-406.6	-234.9	-570.8																																																
BOP - Portfolio Investment - Assets					0	0	0	-0.09	-0.01	0.02	-0.2	0	-10.0																																																
BOP - Portfolio Investments - Liabilities					-2382.89	2313.08	129.14	1771.49	993.15	686.44	2065	2068.4	2115.7																																																
BOP - Reserve Assets					-1704.22	337.26	-1001.91	2784.29	-472.06	354.41	1548.5	1111.7	760.4																																																
BOP - Reserve Assets - Months of Imports																																																													
BOP - Special Drawing Rigths - Liabilities					0	0	0	0	0	0	0	0	0.0																																																
