sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Banking Sector- Borrowings					1692221	1679395	1763384	1607062	1696414	1758389	1448209	1015391	804318	635489	506913	389343	458123	439474	387593	289091	211585	189962	167816	196106	212285	135608	118714																																		
Banking Sector- Capital Base					1265378	1181104	1038237	935597	786140	661315	580120	517844	423734	362732	294065	246592	227436	185856	150001	116437	81531	71988	57083	46439	45972	51422	46012																																		
Banking Sector- Capital Funds					1254164	1129898	1030354	866704	707285	636727	568511	489611	435910	370849	294632	243176	218779	199779	162519	137272	103087	88413	65305	54044	48686	45355	48417																																		
Banking Sector- Contingencies					3230830	2804922	3048774	2633406	5973241	2271576	2171108	2244189	2033987	1973350	1419208	1131031	1180738	1139192	696079	413613	332971	306999	252225	232692	237256	209672	208980																																		
Banking Sector- Core Capital (Tier 1 Capital)					999756	927923	826334	763493	632732	559966	492477	438271	381878	325757	259945	214930	195776	165625	136420	115475	82063	68478	54548	44828	43948	48486	42130																																		
Banking Sector- Core Capital Ratio (Tier I Capital)					13.0	13.0	12.0	13.4	12.5	13.0	14.1	14.9	14.7	14.4	14.3	14.1	12.5	12.6	12.1	13.2	11.4	11.3	11.7	10.1	9.9	12.1	11.6																																		
Banking Sector- Credit to Total Deposits					81.6	88.7	90.6	86.9	88.0	87.3	83.1	82.2	86.9	84.7	76.4	71.5	87.0	88.1	86.3	78.8	75.6	74.0	76.5	84.9	85.9	80.7	77.6																																		
Banking Sector- Demand Deposits					693696	528752	543966	496010	479202	446448	380970	296548	269832	280300	267438	199458	166164	175129	183074	165102	128462	106663	87311	72311	72605	66994	58418																																		
Banking Sector- Deposits					11140932	9162264	8492427	7399006	6295559	5403131	4686306	4169520	3625374	3072544	2586032	2231575	1878231	1741310	1494457	1272983	1079016	911501	792575	698478	609516	539591	480246																																		
Banking Sector- Efficiency (Operating Cost) Ratio					51.9	52.7	50.0	45.7	49.3	51.0	51.4	53.4	49.4	52.7	47.2	56.3	55.6	55.6	56.7	67.3	69.7	69.5	71.5	77.7	79.6	92.0	71.7																																		
Banking Sector- Foreign Exchange Income (net)					31492	26613	48520	23412	25891	27469	19258	16404	26739	14891	11882	12026	13887	9210	9413	5759	6941	4599	4074	5319	3921	3636	3936																																		
Banking Sector- Gross Loans and Advances					9091656	8122439	7693394	6430920	5540751	4715290	3894545	3426558	3149326	2601173	1975360	1596446	1634807	1534098	1289764	1002578	815778	674568	606350	593328	523620	435590	372526																																		
Banking Sector- Gross Non-performing Advances					448062	381688	263146	160672	142349	152812	165474	191033	116635	99297	107044	135579	103271	79064	72568	70701	74948	83167	86922	90526	71325	68717	54936																																		
Banking Sector- Interest Expenses					733123	779699	711127	630636	453113	325235	340461	394747	298372	192674	180333	233942	228682	177029	108166	76129	57615	60322	69310	81294	59947	51887	46011																																		
Banking Sector- Interest Income					1159187	1209491	1108735	972512	757353	591331	561809	591156	495618	357691	330091	364250	343785	278634	193645	141847	113803	111417	108758	112884	90690	76582	72067																																		
Banking Sector- Investments					4227716	3026891	2697354	2576672	2270533	2347596	1927549	1694950	1218065	1057144	1080859	929217	673459	552231	487804	442646	403144	389446	309487	233996	205732	170139	152690																																		
Banking Sector- Net Interest Income					426065	429792	397608	341876	304240	266096	221348	196409	197246	165017	149758	130307	115103	101605	85478	65718	56188	51095	39447	31590	30743	24695	26056																																		
Banking Sector- Net Interest Income (NII) to Average Assets (Net Interest Margin)					3.1	3.6	3.6	3.5	3.6	3.6	3.5	3.5	4.1	4.2	4.6	4.6	4.4	4.4	4.4	4.1	4.1	4.3	3.8	3.3	3.7	3.5	3.9																																		
Banking Sector- Net Loans and Advances					8817218	7922853	7542263	6318684	5466602	4643671	3828862	3364478	3100991	2555486	1926838	1538405	1585633	1490393	1245326	955179	766956	627939	564544	555696	489225	404194	349106																																		
Banking Sector- Net Non-performing Advances					216313	219919	149663	80946	68199	81192	99790	128952	68301	53611	58522	77539	54097	35359	28129	24155	27166	36539	45116	52895	36929	37321	31515																																		
Banking Sector- Net Non-performing Advances (NPLs) to Capital Ratio					17.2	19.5	14.5	9.3	9.6	12.8	17.6	26.3	12.5	11.5	15.2	26.2	18.5	14.0	14.8	17.6	26.4	41.3	69.1	97.9	75.9	82.3	65.1																																		
Banking Sector- Net Non-performing Loans to Total Loans and Advances (Net Non-performing Advances (NPLs) Ratio)					2.4	2.8	2.0	1.3	1.2	1.7	2.6	3.8	2.2	2.1	3.0	5.0	3.4	2.4	2.3	2.5	3.5	5.8	8.0	9.5	7.5	9.2	9.0																																		
Banking Sector- Non-interest Income					141773	132122	147682	122009	102867	97478	98041	85780	78875	60638	67295	59145	54453	40203	32878	30200	29641	27209	19599	18133	15584	13197	13781																																		
Banking Sector- Non-performing Loans to Total Loans and Advances (Gross Non-performing Advances (NPLs) Ratio)					4.9	4.7	3.4	2.5	2.6	3.2	4.2	5.6	3.7	3.8	5.4	8.5	6.3	5.2	5.6	7.1	9.2	12.3	14.3	15.3	13.6	15.8	14.7																																		
Banking Sector- Number of Banks AMPARA					17	17	17	17	16	16	17	17	17	16	14	13	10																																												
Banking Sector- Number of Banks ANURADHAPURA					17	17	17	17	18	18	20	19	17	17	16	16	15																																												
Banking Sector- Number of Banks BADULLA					17	17	17	17	18	18	19	18	17	16	15	15	14																																												
Banking Sector- Number of Banks BATTICOLOA					18	18	19	19	19	19	20	20	20	20	16	12	9																																												
