sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984
Merchandise Export Unit Value Index (1997=100)															238.9	219.2	207.5	200.5	182.4	168.6	164.5	150.5	141.2	139.6	125.2	114.6	114.9	100.0													
Merchandise Export Unit Value Index (2010=100)			266.51	162.63	143.49	148.78	144.42	130.0	121.2	114.7	121.9	117.5	116.2	108.7	100.0	72.4	66.6	62.8																							
Merchandise Export Value Index (1997=100)															342.0	296.8	320.4	308.4	261.3	232.8	213.0	180.7	164.1	156.9	153.2	118.6	113.2	100.0													
Merchandise Export Value Index (2010=100)			434.42	255.11	190.69	218.97	198.34	177.7	153.9	146.8	149.1	137.9	127.8	119.8	100.0	83.49	90.12	86.75																							
Merchandise Export Volume Index (1997=100)															143.2	135.4	154.4	153.8	143.3	138.0	129.4	120.1	116.2	112.4	122.4	103.5	98.5	100.0													
Merchandise Export Volume Index (2010=100)			163.0	156.87	132.89	147.18	137.34	136.7	127.0	128.0	122.3	117.3	110.0	110.2	100.0	115.3	135.2	138.0																							
Merchandise Import Unit Value Index (1997=100)															244.9	212.6	250.1	213.1	188.7	168.6	157.6	136.3	137.7	139.9	123.8	106.4	101.3	100.0													
Merchandise Import Unit Value Index (2010=100)			300.42	166.87	134.9	143.2	136.48	91.6	116.6	114.5	124.8	125.3	129.7	119.7	100.0	92.5	82.8	80.46																							
Merchandise Import Value Index (1997=100)															441.2	338.9	440.9	361.4	308.3	257.6	234.5	186.0	168.9	154.0	152.1	115.8	109.9	100.0													
Merchandise Import Value Index (2010=100)			378.45	270.73	196.24	235.16	237.91	156.5	186.4	169.7	167.2	153.2	161.1	147.9	100.0	77.3	100.6	82.5																							
Merchandise Import Volume Index (1997=100)															180.1	159.4	176.3	169.5	163.4	152.8	148.8	136.5	122.7	110.1	122.8	108.7	108.5	100.0													
Merchandise Import Volume Index (2010=100)			125.98	162.24	145.46	164.21	174.32	170.8	159.9	148.2	134.0	122.3	124.2	123.6	100.0	83.58	121.5	102.4																							
Terms of Trade (1997=100)															97.5	103.1	83.0	94.0	96.7	100.0	104.4	110.4	102.5	99.8	101.1	107.7	113.4	100.0													
Terms of Trade (2010=100)			88.71	97.46	106.37	103.89	105.82	105.2	103.9	100.2	97.6	93.8	89.6	90.9	100.0	78.3	80.4	78.0																							
