sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
IIP - Liabilities					58750.39	64147.78	61389.62	60560.56	55035.72	53740.24	52811.2	47808.4	45601.7																																																
IIP - net					-47867.65	-51162.4	-49291.94	-47856.62	-44949.4	-43006.06	-41625.3	-38352.5	-36409.2																																																
International Investment Position (IIP) - Assets					10882.75	12985.38	12097.68	12703.94	10086.32	10734.18	11185.9	9455.9	9192.5																																																
