sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Labour Statistics-Unemployment Rate-Female			6.5	7.9	8.5	7.4	7.1	6.5	7.0	7.6	6.5	6.6	6.3	7.1	7.7	8.6	8.4	9.0	9.7	11.9	12.8	13.2	12.9	11.5	11.0	13.0	14.0	16.1	17.7	18.7	20.1	21.7	22.9	23.0	23.4																										
Labour Statistics-Unemployment Rate-Male			3.7	3.7	4.0	3.3	3.0	2.9	2.9	3.0	3.1	3.2	2.8	2.7	3.5	4.3	3.7	4.3	4.7	5.5	6.0	6.0	6.6	6.2	5.8	6.7	6.5	7.7	8.2	9.0	9.7	9.7	10.7	10.2	11.8																										
Labour Statistics-Unemployment Rate-Sri Lanka			4.7	5.1	5.5	4.8	4.4	4.2	4.4	4.7	4.3	4.4	4.0	4.2	4.9	5.8	5.4	6.0	6.5	7.7	8.3	8.4	8.8	7.9	7.6	8.9	9.2	10.5	11.3	12.3	13.1	13.8	14.6	14.7	15.9																										
Labour Statistics-Unemployment-Level of Education-G.C.E.(A-L) and Above			7.8	9.1	9.8	8.5	9.1	8.1	8.3	9.2	8.2	8.7	7.6	9.1	11.6	11.2	10.5	11.8	11.6	13.8	16.8	16.5	16.8	15.3	14.9	17.9	17.5	19.3	19.0	20.0	23.7	23.3	22.4	24.6	29.4																										
Labour Statistics-Unemployment-Level of Education-G.C.E.(O-L)			6.1	7.1	7.2	6.5	5.2	5.9	5.8	6.4	5.9	6.0	6.0	5.3	6.9	8.5	7.8	8.2	9.9	11.5	12.3	13.0	13.3	11.8	11.3	13.6	13.7	15.9	16.4	18.4	19.6	21.3	22.2	25.0	23.9																										
