sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Co-operative Rural Banks-Deposits-Savings Deposits				83243	71407	67332	51955	45939	42500	40666	37759.0	33816.0	33524.0	41642.0	35262.0	63989.0	24451.0	21218.0	17419.0	16784.0	5850	5681	5211	4390	3937	9546	7858	7343	6457																																
Co-operative Rural Banks-Deposits-Time Deposits				85239	77700	61447	72685	56311	49310	46490	46881.0	45539.0	30103.0	29440.0	26723.0	39886.0	8591.0	10792.0	7892.0	6786.0	16207	14371	13477	12186	10870	3369	3376	2528	1159																																
Co-operative Rural Banks-Deposits-Total				168481	149107	128779	124640	102249	91810	87157	84640.0	79355.0	63627.0	71081.0	61984.0	103877.0	33042.0	32010.0	25312.0	23570.0	22277	20052	18687	16576	14807	12915	11234	9871	7616																																
