sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Co-operative Rural Banks-Loans Outstanding-Agriculture & Animal Husbandry				2942	2544	3089	2579	2690	2796	4475	2344.0	2083.0	4759.0	1162.0	2952.0		3277.0	3450.0	3200.0	3104.0	489	403	951	1100	941	669	490	187	129																																
Co-operative Rural Banks-Loans Outstanding-Commerce & Other Projects				6387	5593	8663	10782	6504	5440	5854	7737.0	8298.0	17607.0	2774.0	6059.0		399.0	325.0	312.0	308.0	373	396			182		406	193	158																																
Co-operative Rural Banks-Loans Outstanding-Housing Electrification & Water				34701	33164	30883	37218	29370	24810	21094	12983.0	14013.0	24160.0	14462.0	15703.0		3509.0	3402.0	3204.0	3909.0	3179	1887			2991		2010	599	584																																
Co-operative Rural Banks-Loans Outstanding-Other				18160	16960	16711	19033	13362	13626	11038	12786.0	12269.0	3582.0	11525.0	17595.0	19959.0	1973.0	1636.0	1722.0	458.0	1892	1381	1910	1270	762	591	159	198	154																																
Co-operative Rural Banks-Loans Outstanding-Small Industries				3124	4651	2985	3177	3563	3098	2668	1906.0	2858.0	1262.0	858.0	2089.0		618.0	509.0	506.0	469.0	926	138	280	302	274	291	213	93	43																																
Co-operative Rural Banks-Loans Outstanding-Total				65315	62913	62331	72788	55488	49770	45130	37757.0	39520.0	51371.0	30781.0	44398.0	67424.0	9775.0	9321.0	8944.0	8248.0	6859	4205	3326	5663	5150	4409	3279	3363	1067																																
