sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Estimated Coconut Production - Central				182	167.0	160	145.0	126	178	161	154	125	143	156	136	128	132	118	115	126																																									
Estimated Coconut Production - Eastern				173	158.0	168	166.0	98	121	103	104	64	93	60	50	92	95	86	84	77																																									
Estimated Coconut Production - North Central				358	314.0	293	269.0	234	255	226	216	168	197	160	132	175	170	159	153	142																																									
Estimated Coconut Production - North Western				1339	1066.0	1250	995.0	991	1196	1265	1180	972	1276	1147	940	1265	1242	1207	1227	1063																																									
Estimated Coconut Production - Northern				114	96.0	91	96.0	73	82	82	84	93	99	93	69	74	75	72	69	69																																									
Estimated Coconut Production - Sabaragamuwa				263	219.0	242	235.0	200	273	247	217	193	189	195	192	191	214	221	234	216																																									
Estimated Coconut Production - Southern				357	315.0	333	346.0	312	353	355	332	319	336	411	309	305	334	349	376	323																																									
Estimated Coconut Production - Uva				127	130.0	133	110.0	91	108	96	143	115	123	135	90	143	146	97	86	94																																									
Estimated Coconut Production - Western				471	35.0	436	375.0	326	443	495	477	465	485	452	399	479	461	490	515	409																																									
