sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Water Consumption-No. of Consumers-Central-Total				307592	291357.0	282214	272559.0	261356	248735	236052	224217	211940	198512	179688	164259	148470	139414	128029	113711	98691	88555	79589	73733	61495	57384																																				
Water Consumption-No. of Consumers-Eastern-Total				332780	303391.0	286003	264831.0	243424	216552	185298	163349	144321	125123	106066	95169	85061	74942	54997	49313	43533	37479	34563	32606	29312	24906																																				
Water Consumption-No. of Consumers-North Central-Total				160011	144495.0	131995	121541.0	114351	107686	100668	91900	85912	80314	67294	62579	55669	50026	39851	33363	30016	28088	25511	23537	21810	20804																																				
Water Consumption-No. of Consumers-North Western-Total				108403	95308.0	87855	82548.0	78036	73782	69182	64030	58808	53930	46686	40947	36347	32684	28470	26218	23178	21639	19467	18697	17192	24947																																				
Water Consumption-No. of Consumers-Northern-Total				37090	31575.0	28064	24199.0	21653	17817	14834	12189	9088	7922	7087	6456	5631	5435	5083	4439	3866	3051	2404	1780	785	752																																				
Water Consumption-No. of Consumers-Sabaragamuwa-Total				137450	127668.0	118854	112466.0	106606	100957	94784	90267	85367	80528	73258	69264	66121	62340	57363	52139	47444	44031	42652	40770	37873	22226																																				
Water Consumption-No. of Consumers-Southern-Total				360999	343093.0	330915	320351.0	312024	303423	293217	276334	260842	239719	222472	203820	188550	172663	153549	137469	122258	116852	112184	105736	95800	84746																																				
Water Consumption-No. of Consumers-Sri Lanka-Total				2752324	2560237	2437504	2328654	2219172	2092471	1953721	1831998	1707747	1587663	1449301	1353573	1266328	1186931	1078892	989395	907622	841505	782724	732935	665166	564222																																				
Water Consumption-No. of Consumers-Uva-Total				136191	120006.0	109115	103307.0	94794	86273	81307	76064	68955	63248	59192	56771	52624	49157	44178	39662	36226	31777	30428	27761	25298	21916																																				
Water Consumption-No. of Consumers-Western-Total				1171808	1103344.0	1062489	1026852.0	986928	937246	878379	833648	782514	738367	687558	654308	627855	600270	567372	533081	502410	470033	435936	408315	375601	306541																																				
Water Consumption-Quantity of Water-Central-Total				61.7	61.3	58.7	55.0	53.4	51.1	45.9	43.3	39.9	40.2	37.0	33.8	32.4	31.3	29.1	22.4	21.3	19.8	18.15	16.57	15.77	17.22																																				
Water Consumption-Quantity of Water-Eastern-Total				56.0	53.1	48.3	43.5	39.1	34.9	28.3	24.9	21.6	20.0	17.9	16.9	15.6	13.8	11.8	11.0	10.1	9.5	8.46	8.4	7.75	6.74																																				
Water Consumption-Quantity of Water-North Central-Total				32.8	31.2	28.4	25.4	24.5	23.8	20.8	19.2	17.5	17.0	15.3	14.0	13.1	10.8	10.2	9.1	8.4	7.8	7.72	7.19	7.4	6.9																																				
Water Consumption-Quantity of Water-North Western-Total				21.5	20.2	18.8	17.1	15.4	15.4	13.6	13.0	11.5	10.7	10.2	9.3	8.8	8.3	7.8	6.8	6.7	6.1	6.1	5.87	6.79	9.6																																				
Water Consumption-Quantity of Water-Northern-Total				5.4	4.8	4.2	3.7	3.3	2.9	2.4	2.0	1.6	1.5	1.5	1.4	1.4	1.5	1.4	1.3	1.2	1.0	0.78	0.75	0.25	0.23																																				
Water Consumption-Quantity of Water-Sabaragamuwa-Total				24.7	24.4	22.3	20.6	19.9	19.5	17.2	15.8	14.6	14.2	13.1	12.3	11.8	11.4	11.0	10.5	10.0	9.5	8.95	8.85	7.62	5.67																																				
Water Consumption-Quantity of Water-Southern-Total				73.5	72.5	68.5	66.0	62.7	61.7	56.7	53.6	49.2	47.0	43.2	39.3	36.6	34.7	29.9	28.5	26.4	26.1	25.26	23.82	20.76	19.62																																				
Water Consumption-Quantity of Water-Sri Lanka-Total				604.8	594.0	560.8	534.1	509.5	494.7	441.7	416.2	384	373.5	344.3	322.6	309.6	300.9	285.6	264.9	253.5	242.49	231.49	228.39	220.05	193.58																																				
Water Consumption-Quantity of Water-Uva-Total				22.3	21.0	19.5	18.3	17.1	16.6	14.6	14.0	12.7	12.4	11.7	11.1	10.3	9.9	9.2	10.5	7.9	7.5	7.11	7.05	6.94	6.04																																				
Water Consumption-Quantity of Water-Western-Total				307.0	305.6	292	284.5	274.1	268.9	242.1	230.3	215.4	210.5	194.5	184.6	179.5	179.3	175.2	164.8	161.5	155.1	148.94	149.89	146.77	121.56																																				
Water Consumption-Revenue Billed-Central-Total				2333.9	2383.0	2276.5	2111.5	2044.0	1925.6	1648.4	1595.6	1442.5	1475.1	1029.9	919.1	804.7	514.7	455.2	375.9	321.1	237.3	219.49	176.81	157.06	145.15																																				
Water Consumption-Revenue Billed-Eastern-Total				2121.6	2125.5	1911.9	1701.2	1533.6	1379.4	1070.3	980.5	851.6	648.4	553.0	517.1	450.3	275.1	238.3	228.2	196.6	157.8	144.16	139.29	109.0	89.27																																				
