sub_category	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964
Water Consumption-Revenue Billed-North Central-Total				1460.6	1424.6	1317.3	1151.4	1119.9	1079.8	896.4	850.8	770.7	634.4	552.8	501.0	455.8	290.7	255.3	241.2	194.0	154.8	164.65	140.33	131.92	117.5																																				
Water Consumption-Revenue Billed-North Western-Total				822.9	1062.6	734.9	656.7	593.3	590.3	502.9	494.8	431.9	345.5	299.4	269.1	239.9	144.2	134.1	118.9	104.9	84.6	84.68	74.34	82.01	131.94																																				
Water Consumption-Revenue Billed-Northern-Total				224.8	203.8	183.6	160.5	146.1	125.9	107.3	92.6	70.5	53.8	49.6	49.7	45.2	35.5	27.2	24.4	23.9	16.7	14.13	19.63	5.0	3.96																																				
Water Consumption-Revenue Billed-Sabaragamuwa-Total				1076.6	1108.6	1029.4	945.4	912.0	875.0	713.4	691.2	601.9	500.4	442.5	407.3	361.2	229.9	206.3	220.8	194.9	148.1	142.71	130.6	99.81	71.7																																				
Water Consumption-Revenue Billed-Southern-Total				3174.1	3152.3	3042.5	2921.8	2744.6	2640.3	2319.6	2254.7	2015.9	1580.0	1383.4	1240.5	1063.5	821.7	608.0	588.5	482.4	370.2	369.59	306.28	263.21	208.25																																				
Water Consumption-Revenue Billed-Sri Lanka-Total				28269.9	28731.7	7489.6	26232.1	24872.6	24036.3	20484.8	19695.2	18161.5	15331	13319.8	12415.6	11119.3	7875.5	7422	6946.9	5844.3	4460.4	4368.18	3986.45	3488.7	2708.2																																				
Water Consumption-Revenue Billed-Uva-Total				869.7	846.0	815.7	760.7	718.1	687.4	584.8	575.9	521.6	441.3	398.0	372.6	322.4	206.8	197.6	180.4	158.4	136.5	128.84	119.79	110.2	86.89																																				
Water Consumption-Revenue Billed-Western-Total				16185.9	16425.2	16177.8	15822.8	15061.0	14732.7	12641.7	12159.2	11454.8	9652.0	8611.2	8139.2	7376.3	5356.9	5300.0	4968.5	4168.3	3154.4	3099.92	2879.37	2530.49	1853.54																																				
Water Consumption-Revenue Collected-Central-Total				2417.6	2331.0	2333.6	2181.6	2130.7	1934.0	1681.5	1574.0	1462.9	1308.7	1078.4	934.5	772.6	525.4	414.1	375.3	315.8	252.4	234.26	169.5	148.6	117.17																																				
Water Consumption-Revenue Collected-Eastern-Total				2309.3	1913.4	1947.7	1788.8	1669.9	1313.1	1085.4	993.6	819.2	586.4	556.6	513.5	420.4	262.0	257.7	209.7	190.2	168.4	164.69	147.78	112.0	85.54																																				
Water Consumption-Revenue Collected-North Central-Total				1507.7	1336.2	1376.6	1212.5	1176.7	1067.7	930.1	894.1	791.2	657.1	582.4	547.1	450.0	289.4	261.8	232.0	214.4	174.6	194.72	144.34	112.03	111.37																																				
Water Consumption-Revenue Collected-North Western-Total				845.7	1002.3	750.7	677.9	600.5	595.7	520.1	497.8	439.5	355.7	303.8	267.9	228.2	143.3	132.7	129.1	109.8	89.7	90.07	77.42	81.07	128.15																																				
Water Consumption-Revenue Collected-Northern-Total				222.6	188.2	190.3	171.5	144.3	125.4	106.9	95.3	73.3	57.4	47.2	48.2	35.0	27.7	23.4	19.5	16.5	18.8	14.6	10.46	5.25	3.9																																				
Water Consumption-Revenue Collected-Sabaragamuwa-Total				1129.5	1025.8	1078.4	1004.4	938.8	859.0	719.0	682.0	601.3	476.1	411.1	421.0	339.4	303.9	204.2	222.4	203.3	158.3	146.74	144.22	92.36	72.39																																				
Water Consumption-Revenue Collected-Southern-Total				3427.8	2815.1	3129.3	2970.1	2809.5	2765.8	2387.5	2209.4	2076.1	1488.1	1349.6	1258.4	978.4	714.5	595.1	561.1	477.1	381.4	373.42	306.94	270.38	192.77																																				
Water Consumption-Revenue Collected-Sri Lanka-Total				29845.5	25621.5	28082.8	27248.7	25546.1	23891.8	21089.1	19848.1	18267.6	14704.6	13188.1	12427.5	10501.5	7790.9	7418.4	6815.1	5952.2	4924.59	4778.04	3897.67	3351.2	2627.9																																				
Water Consumption-Revenue Collected-Uva-Total				937.7	819.2	837.9	859.9	732.4	680.3	613.5	577.1	512.6	416.1	390.6	364.4	301.8	208.8	193.9	179.1	168.1	150.3	143.07	135.89	98.72	86.41																																				
Water Consumption-Revenue Collected-Western-Total				17047.6	14190.4	16438.3	16382.0	15343.0	14550.8	13045.1	12324.8	11491.5	9359.0	8468.4	8072.5	6975.7	5315.8	5695.7	4886.9	4257.0	3530.7	3416.47	2761.11	2430.78	1830.2																																				
