CLASS OF VEHICLE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MOTOR CARS,361211,381448,387210,"410,282","468,168","499,714","528,094","566,874","672,502","717,674","756,856","837,632","875,864","896,885","900,380","901,070"
MOTOR TRICYCLES,361727,406531,443531,"529,543","667,969","766,784","850,457","929,495","1,059,042","1,115,987","1,139,524","1,159,587","1,175,077","1,182,227","1,184,320","1,184,337"
MOTOR CYCLES,1604648,1760600,1896021,"2,100,832","2,354,163","2,546,447","2,715,727","2,988,612","3,359,501","3,699,630","4,044,010","4,383,773","4,668,074","4,819,708","4,827,719","4,831,077"
BUSES,79870,81050,81789,"84,280","88,528","91,623","93,428","97,279","101,419","104,104","107,435","110,392","112,005","112,583","112,864","113,074"
DUAL PURPOSE VEHICLES,193380,196236,197516,"209,228","242,746","280,143","304,746","325,545","365,001","391,888","408,630","425,561","439,020","448,552","449,323","449,707"
MOTOR LORRIES,262584,276622,284847,"282,033","294,479","304,924","309,449","313,300","318,656","323,927","332,616","339,671","343,409","346,409","349,002","349,605"
PRIME MOVERS,n.a.,n.a.,n.a.,"3,318","3,891","4,174","4,313","4,483","4,799","5,299","5,883","6,309","6,547","6,696","7,055","7,127"
LORRY TRAILERS,n.a.,n.a.,n.a.,"6,552","7,047","7,346","7,495","7,658","7,868","8,202","8,631","8,934","9,111","9,248","9,547","9,675"
LORRY OTHERS,n.a.,n.a.,n.a.,"2,299","3,523","4,666","5,422","6,230","7,444","8,772","10,444","11,704","12,485","13,134","14,227","14,562"
AMBULANCES,n.a.,n.a.,n.a.,"2,143","2,201","2,267","2,559","2,670","2,702","2,820","2,853","3,178","3,464","3,464","3,552","3,566"
HEARSES,n.a.,n.a.,n.a.,347,369,399,410,428,442,454,479,481,484,490,490,491
L.V.TRACTORS,221326,245683,259634,"276,039","296,112","314,562","325,334","332,404","342,381","352,666","361,487","368,947","374,643","380,668","391,088","393,782"
N.A. TRACTORS,n.a.,n.a.,n.a.,958,958,958,958,958,958,958,958,958,958,958,958,958
L.V.TRAILERS,41048,42823,44156,"46,457","49,578","53,020","55,286","57,298","59,426","63,088","67,316","70,138","72,108","74,385","78,729","80,382"
QUADRICYCLE,n.a.,n.a.,n.a.,-,-,-,-,-,-,-,-,654,"1,972","2,442","2,442","2,442"
MOTOR HOME,n.a.,n.a.,n.a.,-,-,-,-,-,-,-,-,2,3,3,6,6
